,number,values_0,values_1,datetime_start,datetime_complete,duration,params_checks,params_n_ratio,params_nskip,params_trees,params_w1,params_w2,system_attrs_nsga2:generation,system_attrs_nsga2:parents,state
68,68,0.30050560684389105,2.9306631088256836,2021-06-19 13:14:48.294817,2021-06-19 13:14:51.226461,0 days 00:00:02.931644,60,0.6415492259649922,8,13,8,10,1,"[1, 1]",COMPLETE
69,69,0.3257528018596032,5.8646063804626465,2021-06-19 13:14:51.227700,2021-06-19 13:14:57.093453,0 days 00:00:05.865753,90,0.6933678716519128,1,5,28,13,1,"[24, 45]",COMPLETE
70,70,0.2606607082342775,2.8627164363861084,2021-06-19 13:14:57.094577,2021-06-19 13:14:59.958328,0 days 00:00:02.863751,10,0.7492482924832433,8,12,10,20,1,"[35, 14]",COMPLETE
71,71,inf,inf,2021-06-19 13:14:59.959256,2021-06-19 13:15:01.347973,0 days 00:00:01.388717,50,0.5493744951139398,1,4,3,7,1,"[0, 0]",COMPLETE
72,72,inf,inf,2021-06-19 13:15:01.369008,2021-06-19 13:15:01.518400,0 days 00:00:00.149392,60,0.31085437581913067,5,5,8,18,1,"[36, 5]",COMPLETE
73,73,inf,inf,2021-06-19 13:15:01.519745,2021-06-19 13:15:02.914100,0 days 00:00:01.394355,10,0.5778081697813601,2,13,14,24,1,"[22, 5]",COMPLETE
74,74,0.29218728940797817,3.161818027496338,2021-06-19 13:15:02.915474,2021-06-19 13:15:06.078944,0 days 00:00:03.163470,10,0.8181318708590011,5,5,10,14,1,"[35, 36]",COMPLETE
75,75,0.284053348236613,2.619441509246826,2021-06-19 13:15:06.080170,2021-06-19 13:15:08.700579,0 days 00:00:02.620409,20,0.6314256997385901,10,1,7,12,1,"[10, 41]",COMPLETE
76,76,0.2532538895474785,2.649125576019287,2021-06-19 13:15:08.701371,2021-06-19 13:15:11.351547,0 days 00:00:02.650176,10,0.6415492259649922,8,4,8,23,1,"[1, 40]",COMPLETE
77,77,1.351858344814057,4.884838819503784,2021-06-19 13:15:11.352357,2021-06-19 13:15:16.238152,0 days 00:00:04.885795,0,0.9838506528651412,3,1,17,18,1,"[9, 4]",COMPLETE
78,78,inf,inf,2021-06-19 13:15:16.238953,2021-06-19 13:15:16.449659,0 days 00:00:00.210706,70,0.3538945081113079,5,12,9,2,1,"[8, 47]",COMPLETE
79,79,0.30409680613438406,4.056706190109253,2021-06-19 13:15:16.451404,2021-06-19 13:15:20.509947,0 days 00:00:04.058543,0,0.9239884580521727,5,11,5,18,1,"[9, 36]",COMPLETE
80,80,0.24561713845966246,2.9830918312072754,2021-06-19 13:15:20.510741,2021-06-19 13:15:23.494938,0 days 00:00:02.984197,70,0.9030810224375221,7,8,3,30,1,"[20, 49]",COMPLETE
81,81,0.3194802938847827,2.8610682487487793,2021-06-19 13:15:23.495742,2021-06-19 13:15:26.357761,0 days 00:00:02.862019,80,0.769694128249329,8,1,7,4,1,"[12, 2]",COMPLETE
82,82,inf,inf,2021-06-19 13:15:26.359026,2021-06-19 13:15:26.889752,0 days 00:00:00.530726,90,0.5532402545485398,6,3,15,25,1,"[44, 28]",COMPLETE
83,83,0.3137439256808561,14.833437204360962,2021-06-19 13:15:26.892568,2021-06-19 13:15:41.727344,0 days 00:00:14.834776,100,0.9981858756497994,0,9,17,25,1,"[43, 43]",COMPLETE
84,84,0.2341778727051543,2.714409112930298,2021-06-19 13:15:41.728492,2021-06-19 13:15:44.443733,0 days 00:00:02.715241,60,0.6707151259602254,9,9,22,25,1,"[26, 26]",COMPLETE
85,85,1.057999070642362,3.488795518875122,2021-06-19 13:15:44.444936,2021-06-19 13:15:47.934854,0 days 00:00:03.489918,0,0.9867075203420317,7,1,24,14,1,"[41, 30]",COMPLETE
86,86,inf,inf,2021-06-19 13:15:47.936110,2021-06-19 13:15:48.080506,0 days 00:00:00.144396,90,0.30073576649850203,5,3,0,16,1,"[8, 39]",COMPLETE
87,87,0.3309762982249078,3.2220299243927,2021-06-19 13:15:48.081992,2021-06-19 13:15:51.305614,0 days 00:00:03.223622,20,0.9614568366614937,7,8,8,1,1,"[32, 49]",COMPLETE
88,88,0.28154256635234054,4.203071355819702,2021-06-19 13:15:51.306884,2021-06-19 13:15:55.511071,0 days 00:00:04.204187,100,0.7735969047093239,3,8,11,27,1,"[25, 46]",COMPLETE
89,89,0.3543844092962235,5.695282220840454,2021-06-19 13:15:55.512353,2021-06-19 13:16:01.208718,0 days 00:00:05.696365,80,0.7471725396085764,1,4,3,7,1,"[24, 0]",COMPLETE
90,90,0.41945600189917454,6.146234512329102,2021-06-19 13:16:01.209968,2021-06-19 13:16:07.357327,0 days 00:00:06.147359,60,0.7815688639630782,1,13,8,2,1,"[47, 1]",COMPLETE
91,91,0.30109308856874706,3.74527645111084,2021-06-19 13:16:07.358586,2021-06-19 13:16:11.104986,0 days 00:00:03.746400,60,0.9867075203420317,6,13,5,8,1,"[1, 41]",COMPLETE
92,92,0.2878069139310132,3.158322811126709,2021-06-19 13:16:11.106239,2021-06-19 13:16:14.265622,0 days 00:00:03.159383,100,0.6670947403626581,6,11,8,14,1,"[38, 33]",COMPLETE
93,93,0.30994346970504477,13.85219669342041,2021-06-19 13:16:14.266890,2021-06-19 13:16:28.119845,0 days 00:00:13.852955,100,0.9981858756497994,0,2,17,25,1,"[43, 43]",COMPLETE
94,94,0.28506819220774576,2.857240915298462,2021-06-19 13:16:28.121042,2021-06-19 13:16:30.979169,0 days 00:00:02.858127,100,0.769694128249329,8,2,7,11,1,"[2, 43]",COMPLETE
95,95,inf,inf,2021-06-19 13:16:30.980389,2021-06-19 13:16:32.348048,0 days 00:00:01.367659,60,0.5493744951139398,1,4,3,7,1,"[0, 3]",COMPLETE
96,96,0.3209162154047959,4.890684366226196,2021-06-19 13:16:32.349520,2021-06-19 13:16:37.247832,0 days 00:00:04.898312,50,0.9167228891613541,2,15,26,8,1,"[10, 27]",COMPLETE
97,97,0.27787841050723977,3.0331497192382812,2021-06-19 13:16:37.248999,2021-06-19 13:16:40.283031,0 days 00:00:03.034032,60,0.9867075203420317,10,1,13,12,1,"[3, 41]",COMPLETE
98,98,inf,inf,2021-06-19 13:16:40.284207,2021-06-19 13:16:40.476169,0 days 00:00:00.191962,40,0.3027652703602585,1,15,13,14,1,"[13, 48]",COMPLETE
99,99,0.2768999564988025,4.053345441818237,2021-06-19 13:16:40.482158,2021-06-19 13:16:44.537490,0 days 00:00:04.055332,10,0.9239884580521727,3,11,4,30,1,"[9, 20]",COMPLETE
100,100,0.33428948179337326,2.7330539226531982,2021-06-19 13:16:44.538644,2021-06-19 13:17:59.440249,0 days 00:01:14.901605,70,0.7815688639630782,10,9,9,2,2,"[47, 61]",COMPLETE
101,101,0.2961850556455237,2.762049674987793,2021-06-19 13:17:59.442124,2021-06-19 13:18:02.205749,0 days 00:00:02.763625,70,0.7815688639630782,10,13,23,2,2,"[47, 91]",COMPLETE
102,102,0.23987808795147356,2.7103817462921143,2021-06-19 13:18:02.207252,2021-06-19 13:18:04.918635,0 days 00:00:02.711383,20,0.6314256997385901,10,1,14,24,2,"[75, 22]",COMPLETE
103,103,0.27542716293718095,3.0536813735961914,2021-06-19 13:18:04.919451,2021-06-19 13:18:07.974313,0 days 00:00:03.054862,60,0.9867075203420317,10,16,8,12,2,"[68, 41]",COMPLETE
104,104,0.26261769138258034,2.9547250270843506,2021-06-19 13:18:07.975129,2021-06-19 13:18:10.930963,0 days 00:00:02.955834,50,0.8418291686792274,8,13,10,20,2,"[35, 14]",COMPLETE
105,105,0.2533261855600841,2.7010090351104736,2021-06-19 13:18:10.932182,2021-06-19 13:18:13.634116,0 days 00:00:02.701934,50,0.6314256997385901,8,4,7,23,2,"[10, 76]",COMPLETE
106,106,0.2463474289140335,2.7524828910827637,2021-06-19 13:18:13.635182,2021-06-19 13:18:16.388776,0 days 00:00:02.753594,20,0.7492482924832433,10,12,10,20,2,"[70, 61]",COMPLETE
107,107,0.25798955073056024,2.8927178382873535,2021-06-19 13:18:16.390025,2021-06-19 13:18:19.283829,0 days 00:00:02.893804,60,0.6415492259649922,7,7,22,23,2,"[76, 26]",COMPLETE
108,108,0.251925809457318,3.085770845413208,2021-06-19 13:18:19.285091,2021-06-19 13:18:22.371820,0 days 00:00:03.086729,10,0.7268184875848873,6,11,4,30,2,"[3, 99]",COMPLETE
109,109,0.2766583504285119,3.999218225479126,2021-06-19 13:18:22.373076,2021-06-19 13:18:26.373245,0 days 00:00:04.000169,50,0.9239884580521727,3,12,4,30,2,"[46, 99]",COMPLETE
110,110,0.3378487020439725,2.9873385429382324,2021-06-19 13:18:26.374407,2021-06-19 13:18:29.362683,0 days 00:00:02.988276,20,0.7815688639630782,7,8,8,2,2,"[64, 87]",COMPLETE
111,111,0.25090757707731925,3.069497585296631,2021-06-19 13:18:29.363736,2021-06-19 13:18:32.434315,0 days 00:00:03.070579,20,0.7268184875848873,6,7,13,30,2,"[3, 41]",COMPLETE
